time,low,high,open,close,volume
1516753980,10775.26,10783.03,10783.03,10775.26,0.8109704
1516753920,10782.98,10806.73,10806.73,10783.03,3.894992979999999
1516753860,10803.87,10813.79,10803.87,10806.72,2.03069018
1516753800,10782.98,10810.0,10782.99,10803.86,1.47191406
1516753740,10757.78,10789.96,10757.78,10782.99,7.02282429
1516753680,10755.11,10762.52,10762.52,10756.5,8.257522040000001
1516753620,10762.51,10792.14,10792.13,10762.52,4.63582842
1516753560,10782.98,10799.57,10784.03,10799.57,3.0072675
1516753500,10784.03,10784.04,10784.03,10784.04,2.20936532
1516753440,10784.03,10798.57,10798.57,10784.04,4.0708953
1516753380,10798.56,10800.01,10800.0,10798.56,3.31277823
1516753320,10800.0,10826.15,10826.15,10800.01,4.73008126
1516753260,10826.14,10826.15,10826.14,10826.14,1.84033166
1516753200,10805.02,10826.15,10805.02,10826.15,12.091459000000002
1516753140,10798.57,10805.02,10798.57,10805.02,4.1154419
1516753080,10798.56,10798.57,10798.57,10798.57,8.877856470000001
1516753020,10794.85,10798.57,10794.85,10798.57,6.009827810000001
1516752960,10769.95,10794.86,10769.95,10794.86,6.40003411
1516752900,10755.0,10784.02,10784.02,10760.59,5.4914917999999995
1516752840,10784.0,10805.03,10805.03,10784.03,7.05944387
1516752780,10792.6,10812.83,10805.3,10805.04,4.02763604
1516752720,10806.25,10828.02,10828.02,10806.25,3.41238363
1516752660,10789.45,10828.02,10800.0,10828.01,6.422006970000001
1516752600,10800.0,10800.01,10800.0,10800.0,4.40401177
1516752540,10800.0,10818.0,10818.0,10800.01,4.047953349999999
1516752480,10818.6,10818.62,10818.62,10818.6,3.4719276399999996
1516752420,10818.6,10850.01,10850.01,10818.62,2.20915353
1516752360,10850.0,10850.01,10850.0,10850.0,2.6747094899999997
1516752300,10850.0,10850.01,10850.01,10850.01,1.13596118
1516752240,10850.0,10856.47,10856.47,10850.0,2.0313259299999995
1516752180,10856.47,10856.48,10856.47,10856.48,3.28044477
1516752120,10856.47,10879.87,10879.87,10856.47,1.8772603099999998
1516752060,10877.49,10890.0,10877.5,10883.98,3.7631101300000003
1516752000,10824.94,10889.44,10824.95,10889.44,4.6854285
1516751940,10824.94,10849.28,10836.83,10824.94,10.855673249999997
1516751880,10788.99,10836.82,10789.0,10836.82,8.237325369999999
1516751820,10777.07,10789.0,10777.08,10789.0,2.42888159
1516751760,10770.0,10787.09,10770.0,10777.07,2.8704319799999998
1516751700,10762.59,10770.0,10762.6,10770.0,5.586754480000001
1516751640,10750.42,10766.0,10766.0,10762.59,17.95532179
1516751580,10766.0,10785.91,10785.91,10766.0,4.368372569999999
1516751520,10775.39,10790.0,10775.39,10789.99,8.914839360000002
1516751460,10775.39,10795.98,10795.98,10775.4,5.83546586
